ekran_boyutu,ekran_kartı.1,Ekran Kartı Bellek Tipi.1,ekran_kartı_hafızası_1,ekran_karı_tipi_1,ekran_yenileme_hızı_1,marka,hard_disk_kapasitesi,klavye,kullanım_amacı,ram_sistem_bellegi_1,ram_tipi_1,renk,ssd_kapasitesi,cozunurluk_1,cozunurluk_standartı_1,islemci_modeli_1,islemci_nesli_1,islemci_tipi_1,islemci_cekirdek_sayisi_1,isletim_sistemi_1,url,prices
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,Casper,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,32 GB,DDR4,Metalik,1 TB,1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1342-dfb0x-b-intel-core-i5-13420h-32gb-ram-1tb-nvme-ssd-gen4-8gb-rtx4060-freedos-p-778321429?boutiqueId=61&merchantId=114258&advertItems=eyJhZHZlcnRJZCI6IjQ3MzM5MDlkLTBhYWMtNGFmNi1hZGYzLTg3NWUyYWUzODM4ZCIsInNvcnRpbmdTY29yZSI6MC4wNjQ5NTI0NDM3MTE0NTk2NCwiYWRTY29yZSI6MC4wMzI2NTc4ODAzMzYwNDYyMiwiYWRTY29yZXMiOnsiMSI6MC4wMzI2NTc4ODAzMzYwNDYyMiwiMiI6MC4wMzI2NTc4ODAzMzYwNDYyMn0sImNwYyI6MS43ODIwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNzYzNTQ2MTY4MjkxNDUxNywiYWR2ZXJ0U2xvdCI6MTIsIm9yZGVyIjoyMywic2VhcmNoVGVybSI6ImxhcHRvcCIsImF0dHJpYnV0ZXMiOiIifQ==,34.999
"15,6",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Asus,HDD Yok,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,8 GB,DDR4,Gümüş,512 GB,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,10,Windows,https://www.trendyol.com//asus/vivobook-15-12-nesil-core-i5-1235u-8gb-512gb-ssd-15-6inc-w11-p-779209968?boutiqueId=61&merchantId=653256,15.999
"13,6",M2 8 Çekirdekli,Dahili,8 GB,Dahili,120 Hz,Apple,250 GB,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,DDR5,Mavi,256 GB,2560 x 1600,Ultra HD 4K (UHD),Belirtilmemiş,1. Nesil,Apple M2,1,Mac Os,https://www.trendyol.com//apple/macbook-air-13-6-m2-8gb-256gb-ssd-gece-yarisi-p-336318153?boutiqueId=61&merchantId=169540,35.896
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,Casper,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,32 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1265-dqb0x-b-intel-core-i7-12650h-32gb-1tb-nvme-rtx4060-fdos-p-776821201?boutiqueId=61&merchantId=114258&advertItems=eyJhZHZlcnRJZCI6ImUyYzI0MGYxLTNiZTMtNDJlNy05YjFiLWFkNDU3YjEyZTBmNiIsInNvcnRpbmdTY29yZSI6MC4wNjM1NTA4MzA5MTU1NzAyNiwiYWRTY29yZSI6MC4wMzU2NjI2NDM2MTE0MzExMiwiYWRTY29yZXMiOnsiMSI6MC4wMzU2NjI2NDM2MTE0MzExMiwiMiI6MC4wMzU2NjI2NDM2MTE0MzExMn0sImNwYyI6MS43ODIwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNjczNzgwNTQwMDY0NDkwNSwiYWR2ZXJ0U2xvdCI6MTMsIm9yZGVyIjozLCJzZWFyY2hUZXJtIjoibGFwdG9wIiwiYXR0cmlidXRlcyI6IiJ9,35.999
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,MSI,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,16 GB,DDR5,Siyah,1 TB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//msi/cyborg-15-a12vf-077xtr-i5-12450h-16gb-ddr5-rtx4060-gddr6-8gb-1tb-ssd-15-6-fhd-144hz-dos-p-730306217?boutiqueId=61&merchantId=685440,35.199
"15,6",Intel Iris Graphics,SD,Paylaşımlı,Dahili,60 Hz,Everest,HDD Yok,Q Türkçe (Aydınlatmalı),Ofis - İş,16 GB,DDR4,Siyah,500 GB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//everest/everbook-eb-15r03-i5-1135g7-16gb-500ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-639508634?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6IjQwMDJmNTQ4LTRkODItNGVmZS04ODMwLWU0MTRjN2E0YjkzNSIsInNvcnRpbmdTY29yZSI6MC4wNTg5NzgxODY4OTQyMDgyLCJhZFNjb3JlIjowLjAyODgyNjA5MzMwMTE3NzAyNSwiYWRTY29yZXMiOnsiMSI6MC4wMjg4MjYwOTMzMDExNzcwMjUsIjIiOjAuMDI4ODI2MDkzMzAxMTc3MDI1fSwiY3BjIjoyLjA0NjAwMDAwMDAwMDAwMDMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi4wMTQwODYzNDc2NjA0OTksImFkdmVydFNsb3QiOjE0LCJvcmRlciI6Nywic2VhcmNoVGVybSI6ImxhcHRvcCIsImF0dHJpYnV0ZXMiOiIifQ==,11.789
16,,,,,,Lenovo,HDD Yok,Q TÃ¼rkÃ§e + Numerik (AydÄ±nlatmalÄ±),,,,Siyah,512 GB,,,,,,,,https://www.trendyol.com//lenovo/ip-gaming-3-amd-ryzen-5-6600h-16gb-512gb-rtx3050-16-wuxga-165hz-gaming-notebook-82sc0098tx-p-780224610?boutiqueId=623361&merchantId=968,23.999
"15,6",Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,60 Hz,HP,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//hp/250-g8-i5-1135g7-16gb-1tb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-853u7es6-p-767511636?boutiqueId=61&merchantId=114271,13.799
"15,6",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Asus,HDD Yok,Q Türkçe (Aydınlatmasız),Ev - Okul,24 GB,DDR4,Gümüş,1 TB,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,10,Free Dos,https://www.trendyol.com//asus/vivobook-15-i5-1235u-24gb-1tb-ssd-15-6-freedos-tasinabilir-bilgisayar-x1502za-ej1067tr11-p-738401475?boutiqueId=61&merchantId=107204,17.899
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,Casper,HDD Yok,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,32 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1245-dfa0x-b-intel-core-i5-12450h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672168438?boutiqueId=623361&merchantId=968&advertItems=eyJhZHZlcnRJZCI6ImIzYjEzODhjLWYyYjgtNDk1Yi1hMjkxLWVmOTI3ZGZlOTQ2NyIsInNvcnRpbmdTY29yZSI6MC4wNTc0ODE3MTgzOTExODAwNSwiYWRTY29yZSI6MC4wMzIyNTY4NTY1NjA3MDcwOSwiYWRTY29yZXMiOnsiMSI6MC4wMzIyNTY4NTY1NjA3MDcwOSwiMiI6MC4wMzIyNTY4NTY1NjA3MDcwOX0sImNwYyI6MS43ODIwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNzYwMDQ4NjM0NTgzODU0NCwiYWR2ZXJ0U2xvdCI6MTUsIm9yZGVyIjoxMSwic2VhcmNoVGVybSI6ImxhcHRvcCIsImF0dHJpYnV0ZXMiOiIifQ==,31.499
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,MSI,500 GB,Q Türkçe,Oyun,16 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//msi/thin-gf63-12-nesil-core-i7-12650h-rtx4050-6gb-16gb-512gb-ssd-15-6inc-freedos-p-779232291?boutiqueId=61&merchantId=624588,35.732
"15,6",Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,ACER,HDD Yok,Q Türkçe,Ofis - İş,8 GB,DDR4,Gümüş,256 GB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//acer/aspire3-intel-core-i5-1135g7-8gb-256gb-ssd-15-6-fhd-dos-dizustu-bilgisayar-acer-turkiye-garantili-p-320269481?boutiqueId=61&merchantId=413472,11.675
"15,6",Intel UHD Graphics 600,SD,Paylaşımlı,Dahili,60 Hz,Asus,HDD Yok,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Gümüş,256 GB,1366 x 768,HD Ready (HD),N4020,5. Nesil,Intel Celeron,2,Free Dos,https://www.trendyol.com//asus/x515ma-br918a4-n4020-16gb-256ssd-15-6-hd-freedos-tasinabilir-bilgisayar-p-697457316?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6IjQwMDJmNTQ4LTRkODItNGVmZS04ODMwLWU0MTRjN2E0YjkzNSIsInNvcnRpbmdTY29yZSI6MC4wNTYxMjg0OTgzMDA5MTAwMDQsImFkU2NvcmUiOjAuMDI3NDMzMjgzNjI3MDMzMjM0LCJhZFNjb3JlcyI6eyIxIjowLjAyNzQzMzI4MzYyNzAzMzIzNCwiMiI6MC4wMjc0MzMyODM2MjcwMzMyMzR9LCJjcGMiOjIuMDQ2MDAwMDAwMDAwMDAwMywibWluQ3BjIjowLjAxLCJlQ3BjIjoyLjA0NjAwMDAwMDAwMDAwMDMsImFkdmVydFNsb3QiOjE2LCJvcmRlciI6MTUsInNlYXJjaFRlcm0iOiJsYXB0b3AiLCJhdHRyaWJ1dGVzIjoiIn0=,11.269
"16,1",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,HP,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,16 GB,DDR5,Mavi,512 GB,1920 x 1080,Full HD (FHD),6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,https://www.trendyol.com//hp/victus-16-e1014nt-amd-ryzen-5-6600h-16gb-512gb-rtx3050ti-16-1-fhd-144hz-dos-79y91ea-p-752671808?boutiqueId=623361&merchantId=968,25.999
"15,6",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,ACER,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,8 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Free Dos,https://www.trendyol.com//acer/nitro-5-intel-core-i5-12500h-8gb-512gb-ssd-4gb-rtx3050ti-dos-15-6-fhd-gaming-laptop-nh-qfley-004-p-448144711?boutiqueId=61&merchantId=547968,24.875
"15,6",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Ofis - İş,32 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,10,Free Dos,https://www.trendyol.com//casper/nirvana-c550-1235-df00x-g-f-intel-core-i5-1235u-32gb-ram-1tb-nvme-ssd-gen4-freedos-p-740918787?boutiqueId=61&merchantId=129813,17.299
"15,6",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,Casper,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,16 GB,DDR4,Gri,500 GB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1245-bvg0x-b-intel-core-i5-12450h-16-gb-ram-500-gb-nvme-ssd-gen4-4gb-rtx-2050-freedos-p-746289856?boutiqueId=623361&merchantId=968&advertItems=eyJhZHZlcnRJZCI6IjY4OGQwNGVmLWM0YjktNDA2Mi1iZTE0LTZhNzQ3OTYzYWM5NCIsInNvcnRpbmdTY29yZSI6MC4wNTU4ODY3MjcwNDI0OTYyMSwiYWRTY29yZSI6MC4wMzEzNjE3OTk2ODcxNDcxNCwiYWRTY29yZXMiOnsiMSI6MC4wMzEzNjE3OTk2ODcxNDcxNCwiMiI6MC4wMzEzNjE3OTk2ODcxNDcxNH0sImNwYyI6MS43ODIwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNzA1MDcyODE5NTI2MDExLCJhZHZlcnRTbG90IjoxNywib3JkZXIiOjE5LCJzZWFyY2hUZXJtIjoibGFwdG9wIiwiYXR0cmlidXRlcyI6IiJ9,24.599
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,ACER,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,8 GB,DDR5,Siyah,1 TB,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,https://www.trendyol.com//acer/nitro5-intel-core-i7-12700h-8gb-1tb-ssd-8gb-rtx4060-dos-15-6-gaming-laptop-acer-turkiye-garantili-p-741177833?boutiqueId=623361&merchantId=968,33.999
"15,6",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,Monster,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,32 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Free Dos,https://www.trendyol.com//monster/abra-a5-v20-1-2-intel-core-i5-13500h-32-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-15-6-fhd-144-hz-p-736036073?boutiqueId=623361&merchantId=968,28.999
"15,6",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Lenovo,1 TB,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,10,Windows,https://www.trendyol.com//lenovo/v15-g3-i5-1235u-16gb-1tb-ssd-1tb-hdd-w10pro-15-6-fhd-notebook-82tt00a5tx0424-mouse-canta-p-743838249?boutiqueId=61&merchantId=109354,17.992
16,Nvidia GeForce RTX 4070,GDDR6X,8 GB,Harici,165 Hz,Casper,HDD Yok,RGB Türkçe,Oyun,64 GB,DDR5,Gri,2 TB,2560 x 1600,WQHD,13900HX,13. Nesil,Intel Core i9,24,Free Dos,https://www.trendyol.com//casper/excalibur-g911-1390-ex70x-c-intel-core-i9-13900hx-64gb-ddr5-ram-2tb-nvme-ssd-8gb-rtx4070-freedos-p-672175511?boutiqueId=61&merchantId=114258&advertItems=eyJhZHZlcnRJZCI6IjM5MTk1OWMzLWFkN2QtNGU3MC1hZGExLTVjMzkwM2M3ZThhNiIsInNvcnRpbmdTY29yZSI6MC4wNTI4NDY5MTY0MzM0MjM3NiwiYWRTY29yZSI6MC4wMjk2NTU5NTc1OTQ1MTM4OTMsImFkU2NvcmVzIjp7IjEiOjAuMDI5NjU1OTU3NTk0NTEzODkzLCIyIjowLjAyOTY1NTk1NzU5NDUxMzg5M30sImNwYyI6MS43ODIwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNTk1ODkwODgyODc1NTM2NywiYWR2ZXJ0U2xvdCI6MTgsIm9yZGVyIjoyMywic2VhcmNoVGVybSI6ImxhcHRvcCIsImF0dHJpYnV0ZXMiOiIifQ==,66.099
"15,6",AMD Radeon Vega 8,GDDR6,Paylaşımlı,Dahili,Belirtilmemiş,HP,HDD Yok,Q Türkçe,Ofis - İş,32 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),5700U,5. Nesil,AMD Ryzen 7,8,Windows,https://www.trendyol.com//hp/255-g8-amd-ryzen-7-5700u-32gb-512gb-ssd-windows-10-home-15-6-fhd-t-bilgisayar-4p3m4es6-p-374782631?boutiqueId=61&merchantId=444099,20.789
"16,1",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,HP,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,16 GB,DDR5,Gri,1 TB,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,https://www.trendyol.com//hp/victus-16-r0029nt-intel-i7-13700h-ddr5-16gb-1tb-ssd-gen4-6gb-rtx-4050-16-1-freedos-laptop-7p6c1ea-p-736351908?boutiqueId=61&merchantId=216294,35.999
"15,6",AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Ofis - İş,8 GB,LPDDR5,Gri,256 GB,1920 x 1080,Full HD (FHD),7520U,7. Nesil,AMD Ryzen 5,4,Free Dos,https://www.trendyol.com//lenovo/ideapad-slim3-amd-ryzen-5-7320u-8gb-256gb-dos-15-6-arctic-grey-laptop-lenovo-turkiye-garantili-p-744554284?boutiqueId=61&merchantId=547968,10.299
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,Casper,HDD Yok,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,32 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1265-dfa0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672157475?boutiqueId=623361&merchantId=968&advertItems=eyJhZHZlcnRJZCI6IjBlMDdjMThhLThjYjQtNDJhNy1hMWE5LTA3YzA4NjdlOTViOSIsInNvcnRpbmdTY29yZSI6MC4wNDY3MzQ1NTA5NzUyNjMxMywiYWRTY29yZSI6MC4wMjYyMjU4OTg0MTQ4NTAyMzUsImFkU2NvcmVzIjp7IjEiOjAuMDI2MjI1ODk4NDE0ODUwMjM1LCIyIjowLjAyNjIyNTg5ODQxNDg1MDIzNX0sImNwYyI6MS43ODIwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNzc4MTE2MzQ1OTEwODAyNSwiYWR2ZXJ0U2xvdCI6MTksIm9yZGVyIjozLCJzZWFyY2hUZXJtIjoibGFwdG9wIiwiYXR0cmlidXRlcyI6IiJ9,35.999
"16,1",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,HP,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,16 GB,DDR5,Gri,1 TB,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,https://www.trendyol.com//hp/victus-16-r0006nt-intel-i7-13700h-ddr5-16gb-1tb-ssd-gen4-16-1-144hz-8gb-rtx-4070-freedos-7p632ea-p-738804739?boutiqueId=61&merchantId=216294,44.459
"15,6",Dahili Ekran Kartı,GDDR5,Paylaşımlı,Dahili,60 Hz,HP,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Siyah,256 GB,1920 x 1080,Full HD (FHD),12060p,13. Nesil,Intel Xeon,24,Free Dos,https://www.trendyol.com//hp/15-6-250-g8-853u8es-core-i5-1135g7-8gb-ram-256gb-ssd-fdos-p-783403142?boutiqueId=61&merchantId=247616,12.25
14,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Huawei,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,LPDDR4X,Gri,512 GB,1920 x 1200,Full HD (FHD),1260p,12. Nesil,Intel Core i5,12,Windows,https://www.trendyol.com//huawei/matebook-d14-mdf-w5651p-i5-1240p-16gb-512gb-ssd-win-11-14-ips-tasinabilir-bilgisayar-p-767159753?boutiqueId=61&merchantId=597193,22.0
"15,6",AMD Radeon Graphics,SD,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,LPDDR5,Gri,256 GB,1920 x 1080,Full HD (FHD),Belirtilmemiş,7. Nesil,AMD Athlon,2,Free Dos,https://www.trendyol.com//lenovo/v15-82yu00metx-7120u-8gb-256ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-744832721?boutiqueId=626264&merchantId=514546&advertItems=eyJhZHZlcnRJZCI6IjI5MDY2NThiLWYxZmEtNDk1YS04MDdiLTE0ZjE4OGQxOTNmYSIsInNvcnRpbmdTY29yZSI6MC4wNDYxMDgxODE3MTEyODYzMSwiYWRTY29yZSI6MC4wNTE3NDg4MDEwMjI3NjgwMiwiYWRTY29yZXMiOnsiMSI6MC4wNTE3NDg4MDEwMjI3NjgwMiwiMiI6MC4wNTE3NDg4MDEwMjI3NjgwMn0sImNwYyI6MC44OTEwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAuMDEsImVDcGMiOjAuODkxMDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MjAsIm9yZGVyIjo3LCJzZWFyY2hUZXJtIjoibGFwdG9wIiwiYXR0cmlidXRlcyI6IiJ9,8.199
"13,6",M2 8 Çekirdekli,Dahili,8 GB,Dahili,120 Hz,Apple,250 GB,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,DDR5,Gri,256 GB,2560 x 1600,Ultra HD 4K (UHD),Belirtilmemiş,1. Nesil,Apple M2,1,Mac Os,https://www.trendyol.com//apple/macbook-air-13-6-m2-8gb-256gb-ssd-uzay-grisi-p-335392170?boutiqueId=61&merchantId=190694,35.74
"15,6",AMD Radeon Graphics,DDR4,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Oyun,8 GB,DDR4,Siyah,256 GB,1920 x 1080,Full HD (FHD),5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//lenovo/ideapad-1-15alc7-ryzen-7-5700u-8gb-256gb-ssd-15-6-fhd-freedos-82r4006etr-p-739210717?boutiqueId=61&merchantId=668931,11.399
"15,6",Nvidia GeForce RTX 4050,DDR4,Paylaşımlı,Dahili,144 Hz,HP,HDD Yok,Q Türkçe (Aydınlatmasız),Oyun,16 GB,DDR4,Beyaz,512 GB,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Free Dos,https://www.trendyol.com//hp/victus-15-fa1035nt-7n9v4ea-i5-13500h-16gb-512gb-rtx4050-6gb-15-6-144hz-fhd-freedos-gaming-laptop-p-696878957?boutiqueId=61&merchantId=105369,28.599
16,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,Asus,HDD Yok,RGB Türkçe,Oyun,16 GB,DDR5,Siyah,512 GB,1920 x 1200,WUXGA,13650HX,13. Nesil,Intel Core i7,6,Free Dos,https://www.trendyol.com//asus/rog-strix-g16-g614jv-n3158-intel-i7-13650hx-16gb-ddr5-512gb-pcie-ssd-8gb-rtx4060-16-165hz-dos-p-661603519?boutiqueId=61&merchantId=105919,46.849
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,Dell,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,16 GB,DDR5,Siyah,1 TB,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Free Dos,https://www.trendyol.com//dell/gaming-g15-5530-g155530013u-i7-13650hx-16gb-ddr5-1tb-ssd-rtx4060-8gb-fhd-ubuntu-gaming-laptop-p-750510203?boutiqueId=61&merchantId=105369,40.899
"15,6",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Windows,https://www.trendyol.com//lenovo/v15-i5-1135g7-16gb-512gb-ssd-15-6-fhd-w11pro-tasinabilir-bilgisayar-82kb00n9tx-p-741544827?boutiqueId=61&merchantId=668896,18.077
16,Nvidia GeForce RTX 4060,GDDR6X,8 GB,Harici,165 Hz,Casper,HDD Yok,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,32 GB,DDR5,Gri,1 TB,2560 x 1600,WQHD,13700HX,13. Nesil,Intel Core i7,16,Free Dos,https://www.trendyol.com//casper/excalibur-g911-1370-dfb0x-c-intel-core-i7-13700hx-32gb-ddr5-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-p-672182432?boutiqueId=61&merchantId=114258&advertItems=eyJhZHZlcnRJZCI6IjZmNDM1ODBmLTUwZDgtNDM2ZC1iMTQzLTUyNGI1NTVkYzgxMSIsInNvcnRpbmdTY29yZSI6MC4wNDM2MDQ5OTQ5MjY2MDE2NiwiYWRTY29yZSI6MC4wMjQxNjY5NjM5OTQ1MDMwMiwiYWRTY29yZXMiOnsiMSI6MC4wMjQxNjY5NjM5OTQ1MDMwMiwiMiI6MC4wMjQxNjY5NjM5OTQ1MDMwMn0sImNwYyI6MS43ODIwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNjg2NTA5Njg4NDQ2NzgxLCJhZHZlcnRTbG90IjoyMiwib3JkZXIiOjE1LCJzZWFyY2hUZXJtIjoibGFwdG9wIiwiYXR0cmlidXRlcyI6IiJ9,48.999
"15,6",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,8 GB,LPDDR5,Gri,512 GB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//lenovo/ideapad-slim3-intel-core-i5-12450h-8gb-512gb-ssd-dos-15-6-fhd-arctic-grey-laptop-83er000wtr-p-772120068?boutiqueId=623361&merchantId=968,13.999
"15,6",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,ACER,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,8 GB,DDR5,Siyah,256 GB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//acer/nitro-core-i5-12450h-8gb-256gb-ssd-rtx-2050-freedos-15-6-fhd-ips-notebook-nh-qmzey-003-p-777978487?boutiqueId=61&merchantId=107007,21.999
